Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.128348,0.128906,0.128348,0.128348,0.101261,469033600
1980-12-15,0.122210,0.126674,0.112723,0.126116,0.099500,490134400
1980-12-22,0.132254,0.159040,0.132254,0.158482,0.125035,187891200
1980-12-29,0.160714,0.161272,0.152344,0.154018,0.121513,219452800
1981-01-05,0.151228,0.151228,0.135045,0.142299,0.112268,197904000
1981-01-12,0.142299,0.142299,0.136161,0.138393,0.109186,88502400
1981-01-19,0.146763,0.147879,0.142299,0.146205,0.115350,134332800
1981-01-26,0.144531,0.144531,0.126116,0.126116,0.099500,166588800
1981-02-02,0.119420,0.128906,0.118862,0.128348,0.101261,92579200
1981-02-09,0.122768,0.122768,0.113839,0.113839,0.089814,74659200
1981-02-16,0.116629,0.122768,0.108259,0.108259,0.085412,78198400
1981-02-23,0.109933,0.119420,0.106027,0.118304,0.093336,76182400
1981-03-02,0.118862,0.119420,0.114397,0.114397,0.090254,58620800
1981-03-09,0.106027,0.106027,0.096540,0.099330,0.078367,364112000
1981-03-16,0.103237,0.116071,0.103237,0.114955,0.090695,170329600
1981-03-23,0.119420,0.120536,0.110491,0.110491,0.087173,81760000
1981-03-30,0.110491,0.118862,0.108259,0.118304,0.093336,107856000
1981-04-06,0.116629,0.125000,0.114955,0.124442,0.098179,101404800
1981-04-13,0.124442,0.125000,0.111607,0.111607,0.088053,80640000
1981-04-20,0.114955,0.131138,0.114955,0.129464,0.102142,175952000
1981-04-27,0.128906,0.128906,0.124442,0.126674,0.099940,113523200
1981-05-04,0.126674,0.126674,0.122210,0.125000,0.098619,68208000
1981-05-11,0.122768,0.124442,0.119978,0.122768,0.096858,30934400
1981-05-18,0.125000,0.141183,0.122768,0.140067,0.110507,106512000
1981-05-25,0.140067,0.148438,0.139509,0.147879,0.116670,368211200
1981-06-01,0.147879,0.148438,0.140625,0.141183,0.111387,244876800
1981-06-08,0.136719,0.147321,0.136161,0.145089,0.114469,303094400
1981-06-15,0.145089,0.145089,0.135045,0.135045,0.106544,259145600
1981-06-22,0.130580,0.133371,0.128906,0.130022,0.102582,96947200
1981-06-29,0.126674,0.126674,0.114955,0.114955,0.090695,247251200
1981-07-06,0.112165,0.117188,0.099330,0.099330,0.078367,137043200
1981-07-13,0.101563,0.116071,0.101563,0.115513,0.091135,111529600
1981-07-20,0.108259,0.108259,0.101004,0.107143,0.084531,141568000
1981-07-27,0.111607,0.112165,0.106027,0.111607,0.088053,76540800
1981-08-03,0.111607,0.116071,0.110491,0.112723,0.088934,81334400
1981-08-10,0.110491,0.110491,0.102121,0.102121,0.080569,149408000
1981-08-17,0.099888,0.099888,0.089844,0.089844,0.070883,115606400
1981-08-24,0.084821,0.090402,0.084263,0.089844,0.070883,161324800
