Date,Dividends
1996-10-08,0.43
2013-07-08,0.45
2017-07-06,0.49
2005-04-06,0.3225
2009-01-07,0.41
2009-07-08,0.41
1988-10-04,0.62
1988-07-01,0.62
2005-07-06,0.3225
2018-04-09,0.5
2004-01-07,0.3125
2009-10-07,0.41
2001-04-06,0.2563
1997-07-08,0.4474
2005-10-05,0.3225
2018-07-09,0.5
2001-07-06,0.2563
2012-04-05,0.44
2014-01-08,0.46
1989-01-03,0.62
1991-07-03,0.71
2010-01-06,0.42
1984-03-26,0.11667
2004-07-07,0.3125
1991-10-04,0.71
2008-10-08,0.4
2013-04-08,0.45
2004-10-06,0.3125
2017-04-06,0.49
1994-01-04,0.3776
2011-04-06,0.43
2015-01-07,0.47
2015-07-08,0.47
2019-10-09,0.51
1990-07-03,0.69
1994-10-04,0.395
2003-04-08,0.2825
1990-01-04,0.65
1994-07-01,0.395
2011-07-06,0.43
2015-10-07,0.47
1986-07-03,0.5328
2003-07-08,0.2825
2002-01-08,0.2563
1993-04-02,0.7552
2011-10-05,0.43
2020-04-08,0.52
2006-01-06,0.3325
2007-07-06,0.355
1995-04-04,0.413
2016-04-06,0.48
2007-10-05,0.355
2019-01-09,0.51
1986-10-06,0.5328
1997-03-25,0.4474
1989-04-04,0.65
2010-04-07,0.42
1984-06-25,0.11667
2001-10-05,0.2563
2016-01-06,0.48
2008-01-08,0.4
1993-07-02,0.3776
2010-07-07,0.42
1984-09-24,0.11667
2014-10-08,0.46
2012-01-06,0.44
1989-10-03,0.65
1998-04-07,0.2338
2010-10-06,0.42
1986-01-06,0.4996
2002-10-08,0.27
2015-04-08,0.47
1992-01-06,0.71
1992-07-06,0.73
1996-10-07,0.43
2009-04-07,0.41
2000-10-05,0.2537
2013-01-08,0.45
2017-01-06,0.49
1992-10-05,0.73
2013-10-08,0.45
1999-09-07,0.2438
1988-04-04,0.62
2017-10-06,0.49
1991-04-04,0.71
1987-01-05,0.5328
1996-01-08,0.4126
2014-04-08,0.46
2000-01-06,0.2438
1993-01-04,0.73
1995-07-06,0.413
2008-04-08,0.4
2016-07-06,0.48
2004-04-06,0.3125
1995-10-05,0.413
2008-07-08,0.4
2016-10-05,0.48
2012-07-06,0.44
1987-04-06,0.5796
1996-04-08,0.43
2001-01-08,0.2538
2000-04-06,0.2538
2005-01-06,0.3225
2012-10-05,0.44
1987-07-06,0.58
1988-01-04,0.58
1992-04-06,0.73
1996-07-08,0.43
1997-01-08,0.43
2000-07-06,0.2538
2018-01-09,0.5
1987-10-05,0.58
1990-04-04,0.69
1998-10-07,0.2338
2007-01-08,0.355
2007-04-05,0.355
2011-01-06,0.43
1990-10-03,0.69
1999-04-07,0.2438
1985-01-04,0.11667
1985-04-03,0.125
1998-01-07,0.4474
1999-07-07,0.2438
2003-10-08,0.2825
2020-07-09,0.52
1995-01-04,0.395
1997-10-08,0.4474
2014-07-08,0.46
2018-10-09,0.5
1993-10-04,0.3776
2002-04-08,0.27
1989-07-05,0.65
1991-01-04,0.69
2006-04-06,0.3325
1985-07-03,0.125
2002-07-08,0.27
2003-01-08,0.27
2019-04-09,0.51
2006-07-06,0.3325
1994-04-04,0.395
1985-10-04,0.125
1986-04-04,0.5328
1998-07-08,0.2338
1999-01-06,0.2338
2019-07-09,0.51
2006-10-05,0.3325
2020-01-09,0.52
